Station ID,Station Name,Province,Reported Station,Max Temp (°C),Date
41652,D G KHAN,Punjab,D G KHAN,46,"19 May, 2025"
41624,D-I-KHAN,KPK,D-I-KHAN,46,"19 May, 2025"
41743,DADU,Sindh,DADU,48,"19 May, 2025"
41508,DIR,KPK,DIR,36,"19 May, 2025"
41630,FAISALABAD,Punjab,FAISALABAD,44,"19 May, 2025"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,40,"19 May, 2025"
41516,GILGIT,GB,GILGIT,37,"19 May, 2025"
41757,GWADAR,Balochistan,GWADAR,36,"19 May, 2025"
41505,HUNZA,GB,HUNZA,33,"19 May, 2025"
41764,HYDERABAD,Sindh,HYDERABAD,41,"19 May, 2025"
41577,ISLAMABAD,Islamabad,ISLAMABAD,41,"19 May, 2025"
41598,JHELUM,Punjab,JHELUM,43,"19 May, 2025"
41756,JIWANI,Balochistan,JIWANI,34,"19 May, 2025"
43534,Jammu,Kashmir,Jammu,40,"19 May, 2025"
41696,KALAT,Balochistan,KALAT,34,"19 May, 2025"
41780,KARACHI,Sindh,KARACHI,36,"19 May, 2025"
41640,LAHORE,Punjab,LAHORE,44,"19 May, 2025"
43535,Leh,Kashmir,Leh,20,"19 May, 2025"
41525,MALAM JABBA,KPK,MALAM JABBA,29,"19 May, 2025"
41786,MITHI,Sindh,MITHI,43,"19 May, 2025"
41747,MOHENJO-DARO,Sindh,MOHENJO-DARO,46,"19 May, 2025"
41675,MULTAN,Punjab,MULTAN,43,"19 May, 2025"
41573,MURREE,Punjab,MURREE,28,"19 May, 2025"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,41,"19 May, 2025"
41749,NAWABSHAH,Sindh,NAWABSHAH,45,"19 May, 2025"
41710,NOKKUNDI,Balochistan,NOKKUNDI,44,"19 May, 2025"
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,43,"19 May, 2025"
43541,Pulwama,Kashmir,Pulwama,30,"19 May, 2025"
41660,QUETTA,Balochistan,QUETTA,37,"19 May, 2025"
41574,RAWALAKOT,Kashmir,RAWALAKOT,31,"19 May, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,40,"19 May, 2025"
41680,SAHIWAL,Punjab,SAHIWAL,44,"19 May, 2025"
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,39,"19 May, 2025"
41593,SARGODHA,Punjab,SARGODHA,47,"19 May, 2025"
41697,SIBBI,Balochistan,SIBBI,47,"19 May, 2025"
41517,SKARDU,GB,SKARDU,29,"19 May, 2025"
41724,SUKKUR,Sindh,SUKKUR,46,"19 May, 2025"
43543,Shopian,Kashmir,Shopian,30,"19 May, 2025"
43536,Srinagar,Kashmir,Srinagar,32,"19 May, 2025"
41783,THATTA,Sindh,THATTA,40,"19 May, 2025"
41738,TURBAT,Balochistan,TURBAT,44,"19 May, 2025"
41520,ASTORE,GB,ASTORE,28,"18 May, 2025"
41535,Abbotabad,KPK,Abbotabad,35,"18 May, 2025"
43542,Anantnag,Kashmir,Anantnag,31,"18 May, 2025"
