Station ID,Station Name,Province,Reported Station,Max Temp (°C),Date
43534,Jammu,Kashmir,Jammu,36,2025-04-20
41630,FAISALABAD,Punjab,FAISALABAD,38,2025-04-20
41520,ASTORE,GB,ASTORE,7,2025-04-20
41756,JIWANI,Balochistan,JIWANI,36,2025-04-20
41562,BANNU,KPK,BANNU,35,2025-04-20
41696,KALAT,Balochistan,KALAT,23,2025-04-20
41516,GILGIT,GB,GILGIT,20,2025-04-20
41675,MULTAN,Punjab,MULTAN,40,2025-04-20
41757,GWADAR,Balochistan,GWADAR,38,2025-04-20
41577,ISLAMABAD,Islamabad,ISLAMABAD,34,2025-04-20
41743,DADU,Sindh,DADU,43,2025-04-20
41525,MALAM JABBA,KPK,MALAM JABBA,18,2025-04-20
41640,LAHORE,Punjab,LAHORE,39,2025-04-20
41724,SUKKUR,Sindh,SUKKUR,42,2025-04-20
41517,SKARDU,GB,SKARDU,8,2025-04-20
41593,SARGODHA,Punjab,SARGODHA,37,2025-04-20
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,29,2025-04-20
41652,D G KHAN,Punjab,D G KHAN,41,2025-04-20
43544,Baramulla,Kashmir,Baramulla,23,2025-04-20
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,33,2025-04-20
43542,Anantnag,Kashmir,Anantnag,22,2025-04-20
41571,RAWALPINDI,Punjab,RAWALPINDI,32,2025-04-20
41749,NAWABSHAH,Sindh,NAWABSHAH,42,2025-04-20
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,24,2025-04-20
41710,NOKKUNDI,Balochistan,NOKKUNDI,30,2025-04-20
41680,SAHIWAL,Punjab,SAHIWAL,39,2025-04-20
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,26,2025-04-20
41573,MURREE,Punjab,MURREE,19,2025-04-20
43541,Pulwama,Kashmir,Pulwama,21,2025-04-20
41700,BAHAWALPUR,Punjab,BAHAWALPUR,41,2025-04-20
41660,QUETTA,Balochistan,QUETTA,23,2025-04-20
41786,MITHI,Sindh,MITHI,43,2025-04-20
43535,Leh,Kashmir,Leh,14,2025-04-20
41567,Attock,Punjab,Attock,33,2025-04-20
43536,Srinagar,Kashmir,Srinagar,21,2025-04-20
43543,Shopian,Kashmir,Shopian,22,2025-04-20
41747,MOHENJO-DARO,Sindh,MOHENJO-DARO,43,2025-04-20
41738,TURBAT,Balochistan,TURBAT,39,2025-04-20
41598,JHELUM,Punjab,JHELUM,37,2025-04-20
41634,CHAKWAL,Punjab,CHAKWAL,34,2025-04-20
41574,RAWALAKOT,Kashmir,RAWALAKOT,21,2025-04-20
41697,SIBBI,Balochistan,SIBBI,47,2025-04-19
43535,Leh,Kashmir,Leh,17,2025-04-19
41535,Abbotabad,KPK,Abbotabad,31,2025-04-19
41624,D-I-KHAN,KPK,D-I-KHAN,40,2025-04-19
41571,RAWALPINDI,Punjab,RAWALPINDI,36,2025-04-19
41574,RAWALAKOT,Kashmir,RAWALAKOT,26,2025-04-19
41764,HYDERABAD,Sindh,HYDERABAD,42,2025-04-19
41738,TURBAT,Balochistan,TURBAT,42,2025-04-19
41640,LAHORE,Punjab,LAHORE,39,2025-04-19
41700,BAHAWALPUR,Punjab,BAHAWALPUR,45,2025-04-19
41660,QUETTA,Balochistan,QUETTA,32,2025-04-19
41743,DADU,Sindh,DADU,47,2025-04-19
41756,JIWANI,Balochistan,JIWANI,33,2025-04-19
41505,HUNZA,GB,HUNZA,15,2025-04-19
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,35,2025-04-19
43541,Pulwama,Kashmir,Pulwama,22,2025-04-19
41710,NOKKUNDI,Balochistan,NOKKUNDI,33,2025-04-19
41783,THATTA,Sindh,THATTA,37,2025-04-19
41506,CHITRAL,KPK,CHITRAL,22,2025-04-19
41757,GWADAR,Balochistan,GWADAR,37,2025-04-19
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,36,2025-04-19
41780,KARACHI,Sindh,KARACHI,34,2025-04-19
43542,Anantnag,Kashmir,Anantnag,23,2025-04-19
41516,GILGIT,GB,GILGIT,18,2025-04-19
41749,NAWABSHAH,Sindh,NAWABSHAH,47,2025-04-19
41593,SARGODHA,Punjab,SARGODHA,40,2025-04-19
41562,BANNU,KPK,BANNU,36,2025-04-19
41508,DIR,KPK,DIR,26,2025-04-19
43544,Baramulla,Kashmir,Baramulla,23,2025-04-19
43534,Jammu,Kashmir,Jammu,37,2025-04-19
41573,MURREE,Punjab,MURREE,25,2025-04-19
41525,MALAM JABBA,KPK,MALAM JABBA,21,2025-04-19
41696,KALAT,Balochistan,KALAT,29,2025-04-19
41634,CHAKWAL,Punjab,CHAKWAL,38,2025-04-19
41786,MITHI,Sindh,MITHI,44,2025-04-19
41680,SAHIWAL,Punjab,SAHIWAL,41,2025-04-19
43543,Shopian,Kashmir,Shopian,22,2025-04-19
41724,SUKKUR,Sindh,SUKKUR,45,2025-04-19
41520,ASTORE,GB,ASTORE,12,2025-04-19
41598,JHELUM,Punjab,JHELUM,39,2025-04-19
41675,MULTAN,Punjab,MULTAN,42,2025-04-19
41630,FAISALABAD,Punjab,FAISALABAD,40,2025-04-19
43536,Srinagar,Kashmir,Srinagar,23,2025-04-19
41652,D G KHAN,Punjab,D G KHAN,43,2025-04-19
41577,ISLAMABAD,Islamabad,ISLAMABAD,36,2025-04-19
41747,MOHENJO-DARO,Sindh,MOHENJO-DARO,46,2025-04-19
41567,Attock,Punjab,Attock,38,2025-04-19
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,32,2025-04-19
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,36,2025-04-19
41517,SKARDU,GB,SKARDU,17,2025-04-19
41696,KALAT,Balochistan,KALAT,31,2025-04-18
41571,RAWALPINDI,Punjab,RAWALPINDI,35,2025-04-18
41697,SIBBI,Balochistan,SIBBI,47,2025-04-18
43536,Srinagar,Kashmir,Srinagar,22,2025-04-18
41593,SARGODHA,Punjab,SARGODHA,39,2025-04-18
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,34,2025-04-18
41508,DIR,KPK,DIR,31,2025-04-18
41680,SAHIWAL,Punjab,SAHIWAL,39,2025-04-18
41756,JIWANI,Balochistan,JIWANI,35,2025-04-18
41574,RAWALAKOT,Kashmir,RAWALAKOT,25,2025-04-18
41516,GILGIT,GB,GILGIT,32,2025-04-18
41786,MITHI,Sindh,MITHI,45,2025-04-18
41675,MULTAN,Punjab,MULTAN,38,2025-04-18
43535,Leh,Kashmir,Leh,18,2025-04-18
41598,JHELUM,Punjab,JHELUM,38,2025-04-18
43534,Jammu,Kashmir,Jammu,35,2025-04-18
41747,MOHENJO-DARO,Sindh,MOHENJO-DARO,47,2025-04-18
41724,SUKKUR,Sindh,SUKKUR,43,2025-04-18
41517,SKARDU,GB,SKARDU,24,2025-04-18
41749,NAWABSHAH,Sindh,NAWABSHAH,49,2025-04-18
41640,LAHORE,Punjab,LAHORE,39,2025-04-18
41738,TURBAT,Balochistan,TURBAT,44,2025-04-18
41525,MALAM JABBA,KPK,MALAM JABBA,21,2025-04-18
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,33,2025-04-18
41630,FAISALABAD,Punjab,FAISALABAD,39,2025-04-18
41757,GWADAR,Balochistan,GWADAR,37,2025-04-18
41505,HUNZA,GB,HUNZA,24,2025-04-18
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,34,2025-04-18
41506,CHITRAL,KPK,CHITRAL,30,2025-04-18
41710,NOKKUNDI,Balochistan,NOKKUNDI,42,2025-04-18
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,36,2025-04-18
41743,DADU,Sindh,DADU,47,2025-04-18
43541,Pulwama,Kashmir,Pulwama,21,2025-04-18
41634,CHAKWAL,Punjab,CHAKWAL,36,2025-04-18
41660,QUETTA,Balochistan,QUETTA,35,2025-04-18
41783,THATTA,Sindh,THATTA,39,2025-04-18
41520,ASTORE,GB,ASTORE,22,2025-04-18
41780,KARACHI,Sindh,KARACHI,38,2025-04-18
41562,BANNU,KPK,BANNU,37,2025-04-18
43542,Anantnag,Kashmir,Anantnag,22,2025-04-18
43544,Baramulla,Kashmir,Baramulla,21,2025-04-18
41624,D-I-KHAN,KPK,D-I-KHAN,39,2025-04-18
41573,MURREE,Punjab,MURREE,24,2025-04-18
41700,BAHAWALPUR,Punjab,BAHAWALPUR,41,2025-04-18
41535,Abbotabad,KPK,Abbotabad,30,2025-04-18
41764,HYDERABAD,Sindh,HYDERABAD,44,2025-04-18
43543,Shopian,Kashmir,Shopian,23,2025-04-18
41567,Attock,Punjab,Attock,37,2025-04-18
41652,D G KHAN,Punjab,D G KHAN,38,2025-04-18
